order_id,order_date,product_name,farmer_location,buyer_location,weather_condition,packaging_type,is_organic,farmer_experience_years,unit_price,quantity,discount_applied,total_price,payment_method,shipping_distance_km,delivery_days,order_status,has_complaint,complaint_escalated
56,2024-03-29,Carrot,Pampanga,Mainit,Cloudy,Standard,0,7,62.24,65,0.0,4045.6,E-Wallet,1043.02,5,Approved,0,0
57,2024-06-24,Potato,Dapa,Bicol,Drought,Standard,1,8,193.73,29,0.0,5618.17,E-Wallet,555.43,7,Approved,0,0
58,2026-03-26,Carrot,Surigao City,Loreto,Sunny,Bulk Sacks,0,4,69.54,595,8877.5,32498.8,Bank Transfer,80.24,2,Approved,0,0
59,2025-03-23,Cabbage,Tagum City,Bayugan City,Sunny,Standard,0,15,57.96,47,779.33,1944.79,Bank Transfer,142.84,1,Approved,0,0
60,2024-09-26,Cacao,Lianga,Leyte,Rainy,Standard,0,7,228.98,60,0.0,13738.8,Crypto,326.7,1,Approved,0,0
61,2026-06-02,Corn,Mati City,Mainit,Sunny,Standard,1,10,55.52,40,0.0,2220.8,Bank Transfer,351.17,3,Approved,0,0
62,2025-05-06,Eggplant,Cebu,Digos City,Sunny,Standard,0,18,58.48,57,918.82,2414.54,COD,500.29,6,Cancelled,0,0
63,2024-03-04,Coconut,Tubod,Cebu,Sunny,Eco-Friendly,0,15,34.08,65,312.95,1902.25,COD,208.13,3,Approved,0,0
64,2025-10-27,Onion,San Jose,Baguio,Drought,Standard,0,9,229.86,48,0.0,11033.28,Online,1084.68,12,Approved,0,0
65,2025-04-03,Mango,Claver,Pampanga,Rainy,Eco-Friendly,0,19,140.68,49,0.0,6893.32,COD,1027.52,7,Rejected,0,0
66,2026-03-22,Corn,Bicol,Dapa,Rainy,Standard,0,4,33.42,48,0.0,1604.16,E-Wallet,649.91,4,Approved,0,0
67,2026-01-01,Pineapple,General Luna,Bislig City,Rainy,Standard,0,7,98.47,52,0.0,5120.44,Crypto,220.75,1,Approved,0,0
68,2026-01-06,Tomato,Cantilan,Cebu,Sunny,Eco-Friendly,0,9,56.64,44,0.0,2492.16,COD,264.51,6,Approved,0,0
69,2026-05-06,Carrot,Madrid,Baguio,Cloudy,Standard,0,2,82.98,43,0.0,3568.14,COD,1269.34,8,Cancelled,0,0
70,2025-05-27,Carrot,Koronadal City,General Luna,Sunny,Eco-Friendly,0,17,83.51,48,0.0,4008.48,Online,427.95,2,Rejected,0,0
71,2024-01-01,Garlic,Bayugan City,Bicol,Sunny,Standard,0,19,162.02,44,0.0,7128.88,COD,671.73,2,Approved,0,0
72,2024-10-20,Mango,Tandag City,Tagum City,Sunny,Bulk Sacks,0,6,95.36,527,19170.72,31084.0,COD,232.89,2,Rejected,0,0
73,2024-12-10,Coffee Beans,Pampanga,Nasipit,Rainy,Bulk Sacks,1,12,538.68,360,0.0,193924.8,E-Wallet,1053.24,6,Rejected,0,0
74,2025-09-01,Coconut,Trento,Digos City,Cloudy,Standard,1,6,63.36,35,0.0,2217.6,COD,187.8,4,Approved,0,0
75,2025-02-20,Rice,Buenavista,Gingoog City,Sunny,Standard,0,10,40.09,55,594.22,1610.73,COD,51.82,2,Approved,0,0
76,2025-09-10,Garlic,Claver,Mati City,Sunny,Bulk Sacks,0,3,117.99,501,0.0,59112.99,Online,384.29,3,Approved,0,0
77,2025-10-31,Corn,Baguio,Gingoog City,Drought,Premium Vacuum,0,5,60.44,45,274.36,2445.44,Online,1245.53,9,Cancelled,0,0
78,2024-01-26,Carrot,Placer,Bacolod,Sunny,Standard,1,9,90.74,43,1035.35,2866.47,COD,443.23,3,Cancelled,0,0
79,2025-10-23,Banana,Placer,Bayugan City,Rainy,Standard,0,17,65.14,52,0.0,3387.28,Bank Transfer,138.54,2,Approved,0,0
80,2024-02-05,Cabbage,Prosperidad,Nasipit,Rainy,Standard,0,15,51.83,65,0.0,3368.95,Online,86.63,4,Approved,0,0
81,2024-12-07,Onion,Baguio,Tandag City,Sunny,Standard,1,1,223.72,42,0.0,9396.24,COD,1309.02,9,Rejected,0,0
82,2024-10-05,Pineapple,Valencia City,Basilisa,Sunny,Eco-Friendly,0,12,75.46,51,388.12,3460.34,COD,305.29,1,Cancelled,0,0
83,2025-03-24,Eggplant,Batangas,Maramag,Sunny,Bulk Sacks,1,10,73.78,450,0.0,33201.0,COD,857.72,7,Cancelled,0,0
84,2024-03-07,Garlic,Maramag,Mainit,Sunny,Standard,0,3,149.77,49,0.0,7338.73,E-Wallet,286.54,8,Approved,0,0
85,2026-06-17,Tomato,Cagdianao,Bicol,Sunny,Standard,0,8,98.03,43,0.0,4215.29,COD,536.26,5,Cancelled,0,0
86,2025-04-11,Cacao,Valencia City,Ilocos,Typhoon,Standard,0,5,459.01,35,0.0,16065.35,COD,1275.52,25,Rejected,0,0
87,2026-03-30,Mango,Trento,San Jose,Rainy,Eco-Friendly,0,3,153.67,43,0.0,6607.81,Crypto,290.42,2,Approved,0,0
88,2025-04-15,Potato,Dipolog City,San Jose,Rainy,Standard,1,3,107.48,29,0.0,3116.92,Online,316.39,1,Approved,0,0
89,2025-09-15,Pineapple,Dapa,Basilisa,Cloudy,Eco-Friendly,1,10,104.34,38,901.4,3063.52,E-Wallet,75.38,1,Approved,0,0
90,2026-05-04,Cabbage,Tagum City,Del Carmen,Sunny,Bulk Sacks,0,12,71.03,463,0.0,32886.89,COD,265.8,1,Rejected,0,0
91,2026-02-11,Coffee Beans,Koronadal City,Buenavista,Sunny,Standard,0,13,420.6,49,0.0,20609.4,COD,372.85,5,Rejected,0,0
92,2025-11-06,Pineapple,Barobo,Basilisa,Sunny,Standard,1,26,111.19,31,0.0,3446.89,COD,217.8,1,Approved,0,0
93,2025-12-25,Pineapple,Buenavista,Valencia City,Cloudy,Eco-Friendly,0,9,99.24,62,2100.37,4052.51,Online,160.58,2,Approved,0,0
94,2025-04-10,Corn,Lianga,Burgos,Rainy,Premium Vacuum,0,15,35.29,54,0.0,1905.66,COD,185.98,3,Approved,0,0
95,2024-04-20,Cabbage,Libjo,Claver,Cloudy,Eco-Friendly,1,4,80.58,50,671.89,3357.11,Online,93.51,1,Approved,1,0
96,2025-03-12,Carrot,General Luna,Bohol,Typhoon,Premium Vacuum,0,3,91.73,49,0.0,4494.77,COD,269.6,5,Approved,0,0
97,2024-08-08,Coffee Beans,Batangas,Bislig City,Sunny,Standard,0,7,271.18,58,0.0,15728.44,Online,910.92,8,Cancelled,0,0
98,2025-11-15,Mango,Butuan City,Zamboanga City,Rainy,Standard,0,12,107.46,45,0.0,4835.7,COD,510.02,4,Approved,0,0
99,2025-09-10,Rice,Butuan City,Koronadal City,Sunny,Standard,0,14,58.79,39,0.0,2292.81,COD,300.78,2,Cancelled,0,0
100,2024-11-08,Mango,Bicol,Cagdianao,Sunny,Eco-Friendly,0,12,107.49,39,0.0,4192.11,COD,631.24,3,Rejected,0,0
101,2025-09-09,Carrot,Surigao City,Bicol,Sunny,Standard,0,8,89.31,44,0.0,3929.64,Online,512.71,5,Approved,0,0
102,2026-06-14,Coffee Beans,Pagadian City,Prosperidad,Drought,Standard,0,9,414.24,42,0.0,17398.08,COD,346.43,5,Rejected,0,0
103,2024-12-19,Pineapple,Loreto,Cagdianao,Typhoon,Standard,0,11,131.8,34,0.0,4481.2,COD,74.0,7,Approved,0,0
104,2024-10-20,Pineapple,Bacolod,Bayugan City,Sunny,Eco-Friendly,0,5,79.13,61,0.0,4826.93,E-Wallet,441.11,2,Approved,0,0
105,2024-01-26,Rice,Baguio,Hinatuan,Sunny,Standard,0,15,44.61,52,0.0,2319.72,COD,1364.33,8,Cancelled,0,0
106,2025-04-29,Banana,Cebu,Zamboanga City,Rainy,Standard,1,1,67.56,39,0.0,2634.84,E-Wallet,480.97,11,Approved,1,0
107,2025-11-18,Eggplant,Prosperidad,Pampanga,Typhoon,Bulk Sacks,1,9,90.55,361,0.0,32688.55,Crypto,1113.13,17,Approved,0,0
108,2024-07-14,Carrot,General Luna,Carmen,Sunny,Standard,1,3,115.56,31,615.7,2966.66,E-Wallet,161.27,1,Approved,0,0
109,2025-02-20,Banana,Bayugan City,Maramag,Cloudy,Eco-Friendly,0,3,55.88,57,367.63,2817.53,Online,163.03,3,Approved,0,0
110,2025-06-16,Tomato,Pagadian City,General Santos City,Sunny,Eco-Friendly,1,11,120.38,48,435.2,5343.04,COD,314.08,2,Approved,0,0
111,2024-09-26,Potato,Trento,Tandag City,Sunny,Eco-Friendly,1,10,140.53,39,0.0,5480.67,Online,154.8,1,Approved,0,0
112,2024-09-21,Rice,Dipolog City,Maramag,Sunny,Standard,0,14,57.3,57,0.0,3266.1,Online,239.28,3,Approved,0,0
113,2025-07-29,Coffee Beans,Malaybalay City,Burgos,Rainy,Standard,1,4,372.78,60,3385.24,18981.56,COD,263.49,3,Approved,0,0
114,2024-08-19,Banana,Valencia City,Trento,Rainy,Eco-Friendly,0,4,69.14,46,1007.46,2172.98,COD,144.36,1,Approved,0,0
115,2025-01-14,Potato,Manila,Pagadian City,Sunny,Standard,0,2,77.44,54,0.0,4181.76,COD,782.16,8,Cancelled,0,0
116,2024-11-13,Potato,Loreto,Koronadal City,Cloudy,Standard,0,4,91.64,50,0.0,4582.0,Bank Transfer,501.73,3,Approved,0,0
117,2024-11-27,Cabbage,Cebu,General Santos City,Sunny,Eco-Friendly,0,11,68.39,55,0.0,3761.45,E-Wallet,553.5,7,Approved,0,0
118,2026-01-20,Pineapple,Basilisa,General Luna,Cloudy,Standard,0,5,114.79,49,0.0,5624.71,Online,91.57,1,Approved,0,0
119,2025-01-21,Coffee Beans,Basilisa,Baguio,Sunny,Standard,0,29,403.76,37,0.0,14939.12,Bank Transfer,967.88,8,Approved,0,0
120,2025-01-09,Carrot,General Santos City,Trento,Typhoon,Standard,0,9,95.13,44,0.0,4185.72,COD,303.17,10,Approved,0,0
121,2024-01-07,Mango,Prosperidad,Dipolog City,Typhoon,Bulk Sacks,0,1,174.92,391,0.0,68393.72,COD,370.93,9,Cancelled,0,0
122,2024-01-31,Mango,Gingoog City,Tagum City,Drought,Standard,1,3,241.79,29,0.0,7011.91,COD,225.94,2,Approved,0,0
123,2024-02-04,Garlic,Bicol,Pampanga,Drought,Standard,0,3,215.49,36,0.0,7757.64,E-Wallet,412.26,4,Approved,0,0
124,2025-01-17,Pineapple,Burgos,Davao City,Cloudy,Standard,0,9,103.88,55,0.0,5713.4,COD,413.41,7,Approved,0,0
125,2025-09-04,Mango,Koronadal City,Del Carmen,Sunny,Standard,0,5,88.17,63,0.0,5554.71,Online,464.52,3,Approved,0,0
126,2025-08-04,Cacao,Zamboanga City,San Francisco,Sunny,Standard,0,9,212.11,60,4522.09,8204.51,Crypto,588.74,7,Approved,0,0
127,2026-03-16,Tomato,Ilocos,Surigao City,Drought,Standard,0,24,108.25,49,735.43,4568.82,COD,1211.31,5,Approved,0,0
128,2024-09-13,Mango,Bayugan City,Baguio,Rainy,Standard,0,4,99.27,57,0.0,5658.39,COD,1204.63,4,Rejected,0,0
129,2025-10-18,Garlic,Carmen,Libjo,Sunny,Eco-Friendly,0,2,135.69,44,0.0,5970.36,COD,166.53,3,Approved,0,0
130,2025-10-31,Banana,Surigao City,Burgos,Typhoon,Standard,0,2,104.98,35,0.0,3674.3,COD,78.72,3,Cancelled,0,0
131,2024-01-30,Cacao,Pampanga,Surigao City,Sunny,Standard,1,10,442.77,38,0.0,16825.26,Bank Transfer,957.58,9,Approved,0,0
132,2024-03-28,Corn,Cebu,Cagdianao,Sunny,Bulk Sacks,1,7,46.61,465,3662.07,18011.58,COD,246.45,2,Cancelled,0,0
133,2025-12-29,Cabbage,Zamboanga City,Bacolod,Cloudy,Standard,0,5,61.65,48,0.0,2959.2,Crypto,494.66,4,Cancelled,0,0
134,2025-07-06,Tomato,Mati City,Cagayan de Oro City,Sunny,Standard,0,3,97.52,39,0.0,3803.28,E-Wallet,277.8,3,Approved,0,0
135,2024-06-10,Carrot,Bislig City,Cebu,Sunny,Eco-Friendly,0,12,87.54,43,0.0,3764.22,COD,469.43,3,Approved,0,0
136,2025-07-11,Coconut,Prosperidad,Trento,Sunny,Standard,0,4,41.26,68,0.0,2805.68,COD,75.83,1,Approved,0,0
137,2025-11-28,Pineapple,Barobo,Koronadal City,Sunny,Standard,0,8,79.6,52,0.0,4139.2,Online,314.22,3,Approved,0,0
138,2024-11-26,Cabbage,Nasipit,Tandag City,Sunny,Standard,0,17,66.87,57,0.0,3811.59,Crypto,110.56,1,Approved,0,0
139,2025-03-09,Eggplant,Placer,Buenavista,Sunny,Standard,0,5,56.41,43,0.0,2425.63,COD,92.86,3,Approved,0,0
140,2025-07-17,Onion,Bislig City,Koronadal City,Rainy,Standard,0,7,116.01,57,0.0,6612.57,Online,325.61,8,Cancelled,0,0
141,2024-07-28,Coffee Beans,Bacolod,Digos City,Sunny,Standard,0,7,289.73,49,0.0,14196.77,COD,581.55,5,Approved,0,0
142,2026-06-01,Coconut,Carmen,Tubod,Drought,Eco-Friendly,0,11,47.96,48,0.0,2302.08,Online,78.75,2,Approved,0,0
143,2024-03-14,Mango,Prosperidad,Madrid,Sunny,Premium Vacuum,0,11,139.83,46,0.0,6432.18,COD,79.11,1,Approved,0,0
144,2025-11-02,Carrot,Lianga,Nueva Ecija,Typhoon,Bulk Sacks,1,2,161.32,287,0.0,46298.84,Online,1005.8,16,Cancelled,0,0
145,2025-09-19,Garlic,Bacolod,Bohol,Drought,Standard,0,12,189.39,41,0.0,7764.99,E-Wallet,177.26,1,Approved,0,0
146,2024-06-02,Cabbage,Ilocos,Burgos,Cloudy,Standard,0,10,76.83,45,178.19,3279.16,Online,1316.09,13,Approved,0,0
147,2026-05-26,Banana,Cabadbaran City,General Santos City,Sunny,Bulk Sacks,0,1,50.22,611,0.0,30684.42,Bank Transfer,427.71,2,Approved,0,0
148,2025-12-02,Banana,Hinatuan,Cagayan de Oro City,Sunny,Bulk Sacks,1,10,82.91,418,0.0,34656.38,Online,214.99,4,Approved,0,0
149,2025-06-04,Rice,Bohol,Buenavista,Rainy,Eco-Friendly,0,12,40.19,69,0.0,2773.11,Bank Transfer,176.32,2,Approved,0,0
150,2024-06-15,Coconut,Pagadian City,Tubod,Rainy,Standard,0,5,36.55,53,0.0,1937.15,Online,348.21,7,Approved,1,0
151,2025-02-22,Cabbage,Mainit,Nasipit,Sunny,Eco-Friendly,1,10,79.58,55,1083.32,3293.58,COD,76.34,1,Approved,0,0
152,2026-06-01,Carrot,Prosperidad,Cebu,Rainy,Premium Vacuum,1,3,107.34,43,0.0,4615.62,COD,370.31,3,Approved,0,0
153,2026-04-25,Banana,Koronadal City,Dipolog City,Sunny,Eco-Friendly,0,13,50.31,57,0.0,2867.67,COD,322.19,2,Approved,0,0
154,2024-01-29,Cabbage,Dapa,Bacolod,Sunny,Standard,1,7,74.79,42,0.0,3141.18,Online,439.15,1,Approved,0,0
155,2026-03-02,Potato,Trento,Pilar,Sunny,Bulk Sacks,0,3,71.17,518,0.0,36866.06,Bank Transfer,248.72,6,Approved,0,0
156,2024-12-17,Onion,Cagdianao,San Francisco,Sunny,Bulk Sacks,0,4,166.31,425,0.0,70681.75,E-Wallet,229.31,5,Rejected,0,0
157,2024-03-13,Coconut,Digos City,Libjo,Rainy,Standard,0,11,32.96,62,0.0,2043.52,Crypto,431.5,4,Approved,0,0
158,2024-07-30,Coconut,Basilisa,San Jose,Rainy,Standard,0,6,41.88,35,169.53,1296.27,E-Wallet,15.28,1,Approved,0,0
159,2025-08-11,Cabbage,Digos City,Batangas,Rainy,Standard,0,11,84.59,46,0.0,3891.14,E-Wallet,1220.08,11,Approved,0,0
160,2025-03-20,Potato,Loreto,Trento,Rainy,Bulk Sacks,0,1,73.1,549,0.0,40131.9,E-Wallet,274.33,1,Rejected,0,0
161,2026-01-23,Carrot,Manila,Trento,Sunny,Standard,0,6,67.06,44,0.0,2950.64,COD,1072.25,10,Cancelled,0,0
162,2024-11-14,Potato,Maramag,Bislig City,Cloudy,Bulk Sacks,0,14,93.3,521,0.0,48609.3,Online,173.02,1,Approved,0,0
163,2025-03-01,Garlic,Tubod,Leyte,Sunny,Eco-Friendly,0,11,147.3,41,0.0,6039.3,COD,197.9,1,Approved,0,0
164,2025-10-23,Onion,Nasipit,Butuan City,Sunny,Standard,0,10,149.78,35,0.0,5242.3,COD,26.27,1,Approved,0,0
165,2024-06-23,Rice,Nasipit,Del Carmen,Typhoon,Standard,0,19,66.97,56,0.0,3750.32,E-Wallet,137.23,4,Approved,0,0
166,2024-09-25,Banana,Cantilan,Gingoog City,Drought,Eco-Friendly,0,12,96.18,46,1426.24,2998.04,COD,144.71,3,Approved,0,0
167,2025-09-21,Carrot,Nueva Ecija,Mainit,Sunny,Standard,0,8,88.87,40,392.86,3161.94,Crypto,1100.53,9,Approved,0,0
168,2024-11-18,Tomato,Batangas,Koronadal City,Rainy,Standard,0,17,69.98,51,706.76,2862.22,COD,1152.94,9,Cancelled,0,0
169,2025-01-02,Coconut,San Jose,Buenavista,Rainy,Eco-Friendly,0,8,40.02,56,0.0,2241.12,E-Wallet,121.21,1,Approved,0,0
170,2025-11-12,Coconut,Surigao City,Bohol,Sunny,Standard,0,5,46.01,39,0.0,1794.39,COD,165.19,3,Approved,0,0
171,2025-01-18,Coffee Beans,Trento,Pagadian City,Rainy,Standard,0,7,391.35,49,0.0,19176.15,E-Wallet,351.67,4,Approved,0,0
172,2024-12-05,Potato,Prosperidad,General Luna,Sunny,Standard,0,1,85.21,47,157.25,3847.62,Online,148.3,2,Cancelled,0,0
173,2024-10-25,Coconut,Cabadbaran City,Barobo,Drought,Standard,0,9,70.18,35,0.0,2456.3,COD,114.08,1,Rejected,0,0
174,2024-12-21,Garlic,Placer,Loreto,Sunny,Standard,0,2,149.16,48,1115.99,6043.69,COD,82.06,1,Approved,0,0
175,2024-06-18,Mango,Trento,Hinatuan,Cloudy,Standard,1,8,164.31,28,779.27,3821.41,COD,58.66,1,Cancelled,0,0
176,2025-12-21,Coconut,Digos City,Mainit,Sunny,Standard,0,6,42.59,58,493.6,1976.62,Online,376.78,2,Approved,0,0
177,2025-12-21,Mango,Maramag,Zamboanga City,Sunny,Premium Vacuum,1,12,143.91,45,0.0,6475.95,COD,414.79,5,Rejected,0,0
178,2024-03-04,Potato,Butuan City,Lianga,Sunny,Standard,0,4,71.1,47,501.99,2839.71,Bank Transfer,82.06,1,Approved,0,0
179,2024-02-29,Potato,San Jose,Madrid,Sunny,Standard,1,3,98.47,40,0.0,3938.8,COD,118.73,1,Approved,0,0
180,2025-04-30,Potato,Basilisa,Digos City,Sunny,Bulk Sacks,0,7,81.18,502,0.0,40752.36,Crypto,448.09,1,Approved,0,0
181,2025-05-17,Garlic,Surigao City,Tubod,Sunny,Eco-Friendly,0,6,107.1,62,0.0,6640.2,COD,36.93,1,Approved,0,0
182,2024-08-16,Onion,Del Carmen,Surigao City,Rainy,Standard,0,29,123.35,56,0.0,6907.6,COD,68.43,1,Rejected,0,0
183,2025-02-25,Cabbage,Zamboanga City,Cebu,Sunny,Bulk Sacks,1,5,74.99,484,0.0,36295.16,Bank Transfer,565.29,8,Approved,0,0
184,2025-05-14,Coconut,Tubod,Koronadal City,Sunny,Standard,0,2,34.31,67,0.0,2298.77,COD,427.04,4,Approved,0,0
