order_id,order_date,product_name,farmer_location,buyer_location,unit_price,quantity,total_price,payment_method,delivery_days,order_status,has_complaint,complaint_escalated
20,2026-04-09,Corn,Zamboanga,Zamboanga,43.28,81,3505.68,COD,1,Approved,0,0
21,2025-04-19,Banana,Pampanga,Davao,55.68,92,5122.56,COD,4,Approved,0,0
22,2025-11-23,Mango,Iloilo,General Santos,174.26,37,6447.62,COD,13,Approved,0,0
23,2025-01-28,Onion,Davao,General Santos,157.52,59,9293.68,Bank Transfer,9,Approved,0,0
24,2025-07-15,Corn,Surigao del Norte,General Santos,40.85,19,776.15,Bank Transfer,11,Rejected,0,0
25,2026-04-01,Tomato,Pampanga,Manila,79.68,85,6772.8,Online,6,Approved,0,0
26,2025-01-30,Rice,Cebu,Cebu,54.28,65,3528.2,Bank Transfer,1,Approved,0,0
27,2026-03-22,Carrot,Pampanga,Surigao del Sur,73.25,57,4175.25,COD,8,Approved,0,0
28,2026-04-01,Cabbage,Batangas,Cebu,71.06,61,4334.66,COD,4,Approved,0,0
29,2026-01-15,Cabbage,Batangas,Agusan del Norte,76.46,90,6881.4,COD,6,Approved,0,0
30,2025-09-07,Mango,Iloilo,Manila,184.61,14,2584.54,Online,8,Approved,1,0
31,2025-03-12,Tomato,Batangas,Baguio,75.48,59,4453.32,Online,9,Approved,0,0
32,2025-11-08,Carrot,Pampanga,Davao,75.66,89,6733.74,Online,10,Approved,1,1
33,2025-05-20,Tomato,Zamboanga,Manila,87.2,83,7237.6,Online,5,Approved,0,0
34,2025-07-03,Garlic,Zamboanga,Agusan del Norte,130.36,48,6257.28,COD,9,Approved,0,0
35,2025-01-04,Banana,Davao,Agusan del Sur,59.63,63,3756.69,COD,3,Approved,0,0
36,2025-07-15,Banana,Davao,Agusan del Norte,55.74,23,1282.02,Online,2,Rejected,0,0
37,2025-12-02,Mango,Iloilo,Cebu,181.25,39,7068.75,COD,11,Approved,0,0
38,2025-11-08,Onion,Surigao del Sur,Baguio,163.45,14,2288.3,Online,14,Approved,0,0
39,2025-08-05,Banana,Dinagat Islands,Batangas,59.67,52,3102.84,COD,14,Rejected,0,0
40,2026-01-18,Onion,Davao,Zamboanga,154.15,100,15415.0,COD,2,Approved,0,0
41,2025-07-17,Onion,Manila,Cagayan de Oro,162.27,65,10547.55,Online,11,Approved,1,1
42,2025-06-09,Garlic,Zamboanga,Agusan del Norte,130.6,61,7966.6,COD,4,Approved,0,0
43,2025-08-08,Cabbage,Agusan del Norte,Zamboanga,74.1,74,5483.4,COD,12,Approved,0,0
44,2025-02-26,Rice,Agusan del Norte,Pampanga,46.69,31,1447.39,Bank Transfer,9,Approved,0,0
45,2026-01-29,Mango,Baguio,Manila,171.78,50,8589.0,Online,12,Approved,0,0
46,2025-01-13,Garlic,Cebu,Batangas,131.12,88,11538.56,COD,2,Approved,0,0
47,2025-04-03,Carrot,Butuan,Iloilo,84.33,65,5481.45,Online,1,Approved,0,0
48,2026-01-19,Onion,Butuan,Batangas,164.7,56,9223.2,Online,8,Approved,0,0
49,2025-01-09,Mango,Iloilo,Dinagat Islands,197.83,18,3560.94,Online,7,Rejected,0,0
50,2025-08-10,Mango,Manila,Butuan,192.5,14,2695.0,Online,5,Approved,0,0
51,2025-01-11,Cabbage,Manila,Cagayan de Oro,69.82,35,2443.7,Online,2,Approved,0,0
52,2025-08-28,Corn,Cebu,Agusan del Sur,43.62,26,1134.12,COD,10,Approved,1,1
53,2026-01-28,Banana,Agusan del Sur,Agusan del Sur,65.27,51,3328.77,COD,3,Approved,0,0
54,2025-06-27,Rice,Cagayan de Oro,Cagayan de Oro,47.53,51,2424.03,COD,1,Approved,0,0
55,2025-09-14,Rice,General Santos,Pampanga,54.41,41,2230.81,Online,5,Approved,0,0
56,2026-04-18,Mango,General Santos,Pampanga,91.89,177,16264.53,COD,9,Cancelled,0,0
57,2026-01-06,Corn,Baguio,Agusan del Norte,40.22,96,3861.12,Online,5,Approved,0,0
58,2025-11-05,Mango,Manila,Cebu,190.81,29,5533.49,Online,9,Approved,0,0
59,2026-04-06,Garlic,Manila,Batangas,137.03,50,6851.5,COD,1,Approved,1,0
60,2025-07-17,Mango,Batangas,Iloilo,171.25,38,6507.5,COD,1,Approved,0,0
61,2025-02-05,Rice,Surigao del Norte,General Santos,49.53,11,544.83,COD,13,Rejected,0,0
62,2026-01-27,Carrot,Manila,Butuan,77.46,13,1006.98,Online,9,Rejected,0,0
63,2025-10-22,Cabbage,Surigao del Norte,Manila,71.07,14,994.98,Bank Transfer,5,Rejected,0,0
64,2025-02-06,Onion,Zamboanga,Cebu,136.52,39,5324.28,COD,3,Approved,0,0
65,2026-01-21,Cabbage,Agusan del Sur,Batangas,67.61,97,6558.17,Online,3,Approved,1,1
66,2025-02-08,Mango,Baguio,Cebu,198.0,31,6138.0,COD,3,Approved,0,0
67,2025-04-17,Garlic,General Santos,Pampanga,135.25,68,9197.0,COD,9,Approved,0,0
68,2025-04-10,Onion,Surigao del Norte,Zamboanga,145.23,48,6971.04,COD,7,Rejected,0,0
69,2026-01-06,Rice,Pampanga,Surigao del Norte,45.44,59,2680.96,COD,5,Approved,0,0
70,2025-02-27,Garlic,Agusan del Norte,Surigao del Norte,134.47,44,5916.68,COD,14,Approved,0,0
71,2025-01-23,Corn,Cagayan de Oro,Baguio,38.44,56,2152.64,Online,9,Rejected,0,0
72,2025-01-31,Rice,Surigao del Sur,Iloilo,47.78,11,525.58,Online,5,Approved,0,0
73,2025-06-15,Rice,Manila,Pampanga,54.23,13,704.99,Online,7,Approved,0,0
74,2025-08-04,Rice,Agusan del Norte,Surigao del Norte,48.82,42,2050.44,Online,8,Approved,0,0
75,2026-01-11,Cabbage,Manila,Zamboanga,63.57,52,3305.64,Online,8,Approved,1,0
76,2025-10-05,Rice,Cagayan de Oro,Surigao del Norte,47.01,76,3572.76,COD,3,Approved,0,0
77,2025-10-23,Corn,Pampanga,Batangas,42.83,98,4197.34,COD,12,Approved,0,0
78,2025-06-21,Garlic,Manila,General Santos,121.97,47,5732.59,COD,2,Approved,0,0
79,2025-03-04,Rice,Agusan del Norte,Surigao del Norte,48.28,40,1931.2,COD,9,Approved,1,0
80,2026-02-04,Banana,Davao,Dinagat Islands,65.7,45,2956.5,Online,8,Rejected,0,0
81,2026-01-29,Onion,Pampanga,Pampanga,153.83,27,4153.41,COD,1,Approved,0,0
82,2025-06-04,Onion,Butuan,Cagayan de Oro,136.54,78,10650.12,COD,8,Cancelled,0,0
83,2025-12-29,Cabbage,Agusan del Norte,Iloilo,63.29,32,2025.28,Online,12,Approved,1,0
84,2025-01-21,Onion,Manila,Zamboanga,149.03,20,2980.6,COD,8,Approved,0,0
85,2026-02-12,Banana,Davao,Agusan del Norte,60.14,86,5172.04,COD,1,Approved,0,0
86,2026-03-04,Banana,Davao,Davao,57.75,26,1501.5,COD,3,Approved,0,0
87,2026-04-22,Cabbage,Agusan del Sur,Dinagat Islands,67.27,21,1412.67,Online,14,Approved,1,0
88,2025-08-12,Onion,Manila,Zamboanga,157.28,55,8650.4,COD,6,Approved,0,0
89,2025-05-03,Rice,General Santos,Dinagat Islands,49.7,68,3379.6,Online,3,Approved,0,0
90,2025-12-30,Carrot,Davao,Agusan del Sur,76.58,50,3829.0,COD,1,Approved,0,0
91,2025-03-26,Garlic,Dinagat Islands,Agusan del Norte,124.3,59,7333.7,COD,8,Approved,0,0
92,2025-08-01,Garlic,Manila,Davao,125.63,63,7914.69,COD,14,Approved,0,0
93,2025-02-01,Carrot,Surigao del Norte,Zamboanga,74.17,53,3931.01,COD,11,Approved,0,0
94,2025-02-20,Cabbage,General Santos,Surigao del Norte,66.4,21,1394.4,COD,2,Approved,0,0
95,2025-09-04,Rice,General Santos,Agusan del Sur,54.85,94,5155.9,COD,9,Approved,0,0
96,2025-05-07,Tomato,Manila,Zamboanga,87.71,80,7016.8,Online,5,Approved,0,0
97,2025-12-08,Mango,Davao,Dinagat Islands,181.83,17,3091.11,Online,11,Approved,0,0
98,2025-11-04,Rice,Davao,Surigao del Norte,47.02,19,893.38,Online,14,Approved,0,0
99,2026-02-27,Tomato,General Santos,Iloilo,73.73,31,2285.63,COD,3,Approved,0,0
100,2025-03-31,Tomato,Pampanga,Davao,83.98,77,6466.46,COD,1,Approved,0,0
101,2025-12-15,Tomato,Agusan del Norte,Dinagat Islands,72.98,46,3357.08,Bank Transfer,2,Approved,0,0
102,2025-08-09,Corn,Baguio,Manila,43.81,74,3241.94,COD,2,Approved,0,0
103,2026-04-07,Tomato,Surigao del Norte,Manila,78.05,20,1561.0,COD,3,Approved,0,0
104,2025-06-21,Carrot,Surigao del Norte,Manila,81.33,71,5774.43,COD,4,Approved,0,0
105,2025-01-07,Onion,Surigao del Sur,Davao,139.76,31,4332.56,Online,12,Rejected,0,0
106,2025-08-19,Tomato,Davao,General Santos,72.87,54,3934.98,COD,6,Approved,0,0
107,2025-01-15,Cabbage,Iloilo,Dinagat Islands,64.47,70,4512.9,COD,13,Approved,0,0
108,2025-07-01,Corn,Pampanga,Agusan del Norte,43.1,45,1939.5,Online,13,Approved,0,0
109,2025-06-01,Garlic,Davao,Manila,130.14,50,6507.0,Bank Transfer,10,Rejected,0,0
110,2025-09-08,Banana,Dinagat Islands,Pampanga,56.15,98,5502.7,COD,12,Rejected,0,0
111,2025-10-25,Carrot,General Santos,General Santos,72.02,48,3456.96,COD,3,Approved,0,0
112,2025-10-27,Banana,Agusan del Sur,Iloilo,56.62,61,3453.82,Online,14,Approved,1,0
113,2026-02-20,Onion,Agusan del Norte,Batangas,151.69,38,5764.22,COD,2,Approved,0,0
114,2025-09-26,Banana,General Santos,Pampanga,57.27,82,4696.14,COD,10,Approved,0,0
115,2025-08-08,Carrot,Cebu,Cagayan de Oro,86.9,58,5040.2,COD,12,Rejected,0,0
116,2025-08-10,Carrot,Pampanga,Iloilo,83.08,95,7892.6,COD,9,Approved,0,0
117,2026-01-31,Banana,Surigao del Sur,General Santos,64.66,81,5237.46,COD,4,Approved,0,0
118,2025-04-24,Carrot,Surigao del Norte,Surigao del Norte,79.53,59,4692.27,Online,3,Approved,0,0
119,2025-02-22,Garlic,Batangas,Cagayan de Oro,119.58,14,1674.12,Online,14,Approved,0,0
120,2025-10-08,Onion,Zamboanga,Butuan,144.61,34,4916.74,COD,6,Rejected,0,0
121,2026-03-20,Garlic,Batangas,Cebu,131.27,94,12339.38,COD,13,Approved,1,0
122,2025-01-16,Tomato,Dinagat Islands,Baguio,75.94,32,2430.08,Online,6,Approved,0,0
123,2026-01-20,Banana,Pampanga,Dinagat Islands,62.72,26,1630.72,Bank Transfer,14,Approved,1,1
124,2025-08-08,Banana,Pampanga,Pampanga,54.74,67,3667.58,Bank Transfer,2,Approved,0,0
125,2025-07-02,Cabbage,Agusan del Sur,Dinagat Islands,76.29,38,2899.02,Online,8,Approved,0,0
126,2025-07-27,Tomato,Baguio,General Santos,76.01,96,7296.96,Online,11,Approved,0,0
127,2025-08-30,Cabbage,Cagayan de Oro,Butuan,70.93,75,5319.75,Online,5,Approved,0,0
128,2025-02-28,Mango,Zamboanga,Baguio,184.63,46,8492.98,COD,1,Approved,0,0
129,2026-04-02,Banana,Dinagat Islands,Agusan del Norte,58.12,79,4591.48,COD,1,Approved,0,0
130,2026-01-26,Tomato,Baguio,General Santos,82.22,86,7070.92,COD,13,Approved,0,0
131,2025-09-16,Mango,Baguio,Manila,191.55,26,4980.3,COD,1,Approved,0,0
132,2026-04-13,Tomato,Davao,Agusan del Norte,72.16,40,2886.4,Bank Transfer,4,Approved,0,0
133,2026-01-04,Banana,Batangas,Iloilo,58.67,89,5221.63,Online,7,Approved,0,0
134,2025-09-11,Cabbage,Surigao del Sur,Surigao del Norte,64.42,78,5024.76,COD,9,Approved,0,0
135,2025-12-15,Tomato,Agusan del Sur,Dinagat Islands,77.77,83,6454.91,Bank Transfer,2,Approved,0,0
136,2025-09-26,Carrot,Batangas,Pampanga,82.95,76,6304.2,COD,14,Approved,1,1
137,2026-04-09,Banana,Pampanga,Dinagat Islands,63.81,59,3764.79,COD,3,Rejected,0,0
138,2025-06-13,Rice,General Santos,Agusan del Sur,49.68,94,4669.92,COD,5,Rejected,0,0
139,2026-03-31,Tomato,Butuan,Surigao del Norte,77.57,77,5972.89,COD,13,Approved,0,0
140,2025-09-18,Banana,Agusan del Norte,Cagayan de Oro,65.74,68,4470.32,COD,5,Approved,0,0
141,2025-11-03,Carrot,Dinagat Islands,Manila,86.46,18,1556.28,Bank Transfer,12,Approved,0,0
142,2025-05-25,Rice,Cagayan de Oro,Davao,54.14,61,3302.54,Bank Transfer,13,Approved,1,0
143,2025-11-20,Corn,Surigao del Norte,Surigao del Sur,43.43,99,4299.57,Online,10,Approved,0,0
144,2026-01-21,Onion,Surigao del Norte,Surigao del Sur,145.49,57,8292.93,Online,8,Approved,0,0
145,2025-03-03,Banana,Dinagat Islands,Manila,61.18,33,2018.94,Online,1,Approved,0,0
146,2025-09-17,Garlic,Cagayan de Oro,Baguio,117.83,45,5302.35,COD,2,Rejected,0,0
147,2025-07-06,Onion,Manila,Cebu,137.57,40,5502.8,COD,10,Approved,1,1
148,2025-07-27,Banana,Zamboanga,General Santos,63.52,28,1778.56,COD,13,Rejected,0,0
149,2025-05-28,Banana,Manila,Cebu,57.76,16,924.16,COD,9,Rejected,0,0
150,2025-12-06,Garlic,Surigao del Sur,Zamboanga,139.21,79,10997.59,COD,12,Cancelled,0,0
151,2025-07-14,Carrot,Cagayan de Oro,Agusan del Norte,75.7,57,4314.9,Bank Transfer,7,Rejected,0,0
152,2026-01-25,Tomato,Iloilo,Manila,74.35,53,3940.55,COD,2,Approved,0,0
153,2025-10-01,Mango,Davao,Zamboanga,186.43,50,9321.5,COD,9,Approved,1,1
154,2025-10-16,Garlic,Butuan,Manila,141.55,50,7077.5,COD,13,Approved,0,0
155,2025-03-12,Carrot,Pampanga,Iloilo,82.15,66,5421.9,COD,9,Approved,0,0
156,2025-04-16,Mango,Zamboanga,Pampanga,100.08,134,13410.72,Online,7,Approved,0,0
157,2025-11-13,Rice,Davao,Butuan,50.87,49,2492.63,COD,9,Rejected,0,0
158,2025-05-17,Cabbage,Batangas,Iloilo,72.79,69,5022.51,COD,3,Approved,0,0
159,2026-03-29,Cabbage,Davao,Butuan,74.73,44,3288.12,Online,8,Approved,1,0
160,2025-10-20,Banana,Cagayan de Oro,Iloilo,57.54,10,575.4,Bank Transfer,4,Rejected,0,0
161,2026-04-19,Rice,Surigao del Norte,Cagayan de Oro,47.16,61,2876.76,COD,4,Rejected,0,0
162,2026-02-20,Banana,Manila,Zamboanga,64.97,89,5782.33,COD,5,Approved,0,0
163,2026-01-22,Banana,Baguio,General Santos,61.87,65,4021.55,COD,14,Approved,1,1
164,2025-03-20,Corn,Agusan del Norte,Surigao del Sur,38.75,18,697.5,COD,1,Approved,1,0
165,2025-02-24,Corn,Davao,Iloilo,43.53,85,3700.05,COD,3,Approved,0,0
166,2025-02-07,Tomato,Pampanga,Agusan del Norte,82.68,95,7854.6,COD,3,Approved,0,0
167,2025-12-31,Corn,Cagayan de Oro,Manila,40.87,14,572.18,Bank Transfer,5,Approved,0,0
168,2025-12-30,Rice,Surigao del Norte,Baguio,53.81,26,1399.06,COD,14,Rejected,0,0
169,2026-02-07,Onion,Agusan del Sur,Butuan,151.52,84,12727.68,Online,1,Approved,0,0
170,2025-08-23,Onion,Manila,Manila,149.72,23,3443.56,Online,2,Approved,0,0
171,2026-01-23,Tomato,Cagayan de Oro,General Santos,75.55,48,3626.4,COD,4,Approved,0,0
172,2025-06-01,Carrot,Butuan,Iloilo,86.59,54,4675.86,Online,9,Approved,0,0
173,2026-03-05,Corn,Agusan del Sur,Agusan del Sur,40.96,95,3891.2,COD,2,Approved,0,0
174,2025-01-10,Garlic,Cebu,General Santos,126.7,82,10389.4,Online,3,Approved,0,0
175,2025-06-09,Carrot,General Santos,Butuan,84.76,18,1525.68,Bank Transfer,9,Rejected,0,0
176,2025-08-26,Cabbage,Cebu,Cebu,68.36,66,4511.76,Online,2,Approved,0,0
177,2026-02-14,Cabbage,Iloilo,Iloilo,70.12,38,2664.56,Online,1,Approved,0,0
178,2025-08-01,Corn,Baguio,Dinagat Islands,37.44,78,2920.32,COD,4,Approved,0,0
179,2025-03-03,Corn,Surigao del Sur,Iloilo,43.04,50,2152.0,Online,4,Rejected,0,0
180,2025-09-03,Corn,Cagayan de Oro,Batangas,41.85,14,585.9,COD,4,Rejected,0,0
181,2026-01-26,Mango,Cebu,General Santos,186.06,10,1860.6,COD,7,Approved,0,0
182,2025-11-18,Cabbage,Batangas,Pampanga,70.57,22,1552.54,Bank Transfer,6,Approved,0,0
183,2025-01-26,Rice,Manila,Agusan del Norte,53.7,69,3705.3,COD,4,Approved,0,0
184,2026-03-08,Carrot,Butuan,Agusan del Norte,77.08,74,5703.92,COD,12,Approved,1,1
185,2026-01-07,Tomato,Agusan del Norte,Cebu,85.41,26,2220.66,COD,4,Approved,0,0
186,2025-03-27,Mango,Pampanga,Zamboanga,98.76,151,14912.76,Online,9,Approved,0,0
187,2025-11-20,Tomato,Butuan,Cebu,85.32,21,1791.72,COD,11,Approved,0,0
188,2025-03-10,Mango,Cebu,Davao,105.16,160,16825.6,COD,4,Approved,0,0
189,2025-11-15,Garlic,Manila,Surigao del Norte,129.95,68,8836.6,COD,3,Approved,0,0
190,2025-05-30,Onion,Agusan del Sur,Butuan,152.03,54,8209.62,COD,8,Approved,1,1
191,2026-02-28,Corn,Butuan,Butuan,38.77,66,2558.82,COD,1,Approved,1,0
192,2026-03-16,Rice,Pampanga,Manila,51.65,13,671.45,COD,6,Approved,0,0
193,2026-02-18,Onion,Surigao del Norte,General Santos,142.55,11,1568.05,COD,9,Approved,1,0
194,2025-02-03,Rice,Surigao del Norte,Zamboanga,54.6,99,5405.4,COD,4,Approved,0,0
195,2025-02-08,Banana,Cagayan de Oro,Dinagat Islands,63.77,81,5165.37,COD,2,Approved,0,0
196,2025-03-28,Corn,General Santos,Cebu,42.36,57,2414.52,COD,11,Rejected,0,0
197,2025-05-06,Rice,Baguio,Zamboanga,45.24,79,3573.96,COD,14,Approved,0,0
198,2025-04-18,Tomato,Dinagat Islands,Davao,80.91,41,3317.31,COD,13,Approved,1,0
199,2025-09-05,Banana,Pampanga,Agusan del Norte,64.43,63,4059.09,COD,7,Approved,0,0
200,2026-04-22,Corn,Batangas,Zamboanga,40.74,25,1018.5,COD,10,Approved,1,0
201,2025-10-05,Mango,General Santos,Zamboanga,176.78,44,7778.32,Online,14,Approved,1,1
202,2025-08-31,Mango,General Santos,Davao,188.47,46,8669.62,Online,1,Approved,0,0
203,2025-09-08,Cabbage,Davao,Dinagat Islands,74.56,59,4399.04,COD,14,Approved,1,0
204,2025-02-26,Corn,Iloilo,Agusan del Norte,42.3,33,1395.9,Online,13,Approved,0,0
205,2025-12-11,Carrot,Butuan,Iloilo,83.07,49,4070.43,Bank Transfer,11,Approved,1,0
206,2025-05-20,Onion,Baguio,Manila,139.72,26,3632.72,Online,4,Approved,0,0
207,2025-12-08,Mango,Zamboanga,Butuan,175.28,29,5083.12,Bank Transfer,3,Approved,0,0
208,2025-05-12,Banana,Agusan del Sur,Iloilo,65.86,18,1185.48,Online,9,Approved,0,0
209,2025-09-23,Corn,Pampanga,Cagayan de Oro,38.11,61,2324.71,COD,7,Approved,0,0
210,2025-06-26,Mango,Baguio,Batangas,164.7,45,7411.5,COD,13,Approved,0,0
211,2025-12-14,Cabbage,Davao,Manila,65.72,84,5520.48,COD,4,Approved,0,0
212,2026-01-16,Tomato,Cebu,Surigao del Sur,72.24,74,5345.76,COD,6,Approved,0,0
213,2025-01-26,Tomato,Iloilo,General Santos,73.31,59,4325.29,Online,4,Approved,0,0
214,2026-02-14,Garlic,Butuan,General Santos,124.52,97,12078.44,COD,6,Cancelled,0,0
215,2025-03-14,Tomato,Butuan,Manila,83.11,60,4986.6,COD,11,Approved,0,0
216,2025-07-04,Carrot,Davao,Surigao del Norte,75.46,73,5508.58,COD,2,Approved,0,0
217,2025-08-07,Tomato,Cagayan de Oro,Butuan,87.33,72,6287.76,COD,14,Approved,1,1
218,2025-04-17,Onion,Zamboanga,Davao,156.01,52,8112.52,COD,6,Rejected,0,0
219,2025-12-01,Mango,Agusan del Sur,Butuan,174.65,38,6636.7,COD,4,Approved,1,1
220,2025-04-21,Onion,Batangas,Davao,149.39,17,2539.63,COD,13,Approved,0,0
221,2025-08-23,Corn,General Santos,Davao,37.83,35,1324.05,COD,6,Approved,0,0
222,2025-11-03,Garlic,Zamboanga,Zamboanga,121.05,13,1573.65,COD,3,Approved,0,0
223,2025-09-30,Garlic,Surigao del Norte,Davao,118.72,47,5579.84,COD,14,Approved,1,1
224,2025-04-23,Carrot,Butuan,Iloilo,72.03,38,2737.14,COD,1,Approved,0,0
225,2026-02-08,Tomato,Batangas,Batangas,86.49,42,3632.58,COD,2,Approved,0,0
226,2025-02-10,Cabbage,Davao,Agusan del Norte,73.26,60,4395.6,COD,12,Approved,0,0
227,2026-04-12,Mango,Cagayan de Oro,Pampanga,100.58,35,3520.3,Online,6,Rejected,0,0
228,2025-12-23,Onion,Butuan,Surigao del Norte,161.91,13,2104.83,Online,9,Rejected,0,0
229,2025-08-03,Garlic,Agusan del Sur,Batangas,121.04,34,4115.36,COD,10,Approved,1,0
230,2026-03-24,Onion,Manila,Baguio,150.34,80,12027.2,COD,10,Cancelled,0,0
231,2025-05-31,Cabbage,Manila,Agusan del Sur,64.48,77,4964.96,COD,5,Approved,0,0
232,2026-04-12,Carrot,Cagayan de Oro,Davao,86.46,43,3717.78,COD,1,Approved,0,0
233,2025-05-28,Rice,Cebu,Batangas,48.36,79,3820.44,Online,9,Approved,1,0
234,2025-03-04,Corn,Dinagat Islands,Zamboanga,42.9,21,900.9,Online,9,Approved,0,0
235,2025-09-30,Carrot,Surigao del Norte,Manila,80.75,13,1049.75,COD,14,Approved,0,0
236,2025-06-16,Corn,Zamboanga,Surigao del Norte,38.68,22,850.96,COD,13,Approved,1,0
237,2025-05-12,Rice,Butuan,Davao,53.51,64,3424.64,COD,3,Rejected,0,0
238,2025-10-02,Cabbage,Cebu,Davao,67.87,85,5768.95,COD,7,Approved,1,0
239,2026-01-31,Garlic,Surigao del Norte,Davao,118.75,86,10212.5,COD,5,Cancelled,0,0
240,2025-11-20,Tomato,Zamboanga,General Santos,81.89,56,4585.84,Online,8,Approved,0,0
241,2025-11-12,Onion,Baguio,Zamboanga,137.75,31,4270.25,COD,8,Rejected,0,0
242,2025-01-06,Rice,General Santos,Agusan del Norte,50.86,85,4323.1,COD,11,Approved,0,0
243,2026-03-22,Rice,Iloilo,Surigao del Norte,54.72,88,4815.36,COD,10,Approved,0,0
244,2025-04-26,Corn,Agusan del Norte,Cagayan de Oro,39.58,64,2533.12,COD,9,Rejected,0,0
245,2025-09-28,Garlic,Butuan,Manila,132.23,31,4099.13,Online,1,Approved,0,0
246,2025-09-07,Rice,Surigao del Sur,Manila,47.11,45,2119.95,Bank Transfer,7,Approved,0,0
247,2025-01-16,Onion,Davao,Batangas,143.31,12,1719.72,COD,10,Approved,1,0
248,2025-05-27,Rice,Batangas,Baguio,53.31,35,1865.85,COD,1,Approved,0,0
249,2025-08-02,Rice,Batangas,General Santos,48.96,20,979.2,COD,9,Rejected,0,0
250,2025-01-26,Corn,Surigao del Norte,Cagayan de Oro,37.31,16,596.96,COD,10,Approved,1,1
251,2025-04-26,Rice,Zamboanga,Butuan,50.61,28,1417.08,COD,11,Approved,1,0
252,2026-02-11,Onion,General Santos,Cagayan de Oro,159.45,67,10683.15,COD,12,Cancelled,0,0
253,2026-01-25,Rice,Agusan del Sur,Pampanga,53.03,20,1060.6,COD,1,Rejected,0,0
254,2025-05-27,Onion,Manila,Agusan del Sur,145.53,24,3492.72,COD,7,Rejected,0,0
255,2026-01-07,Onion,Manila,Surigao del Norte,155.65,31,4825.15,COD,5,Rejected,0,0
256,2025-06-12,Corn,Agusan del Norte,Cagayan de Oro,38.73,81,3137.13,COD,3,Approved,0,0
257,2025-08-10,Carrot,Davao,Zamboanga,74.02,59,4367.18,COD,2,Rejected,0,0
258,2026-02-19,Tomato,Manila,Baguio,86.74,67,5811.58,COD,3,Approved,0,0
259,2025-10-14,Rice,Davao,Dinagat Islands,54.75,86,4708.5,COD,7,Approved,0,0
260,2025-04-24,Rice,Surigao del Norte,Butuan,48.91,63,3081.33,Online,14,Approved,1,0
261,2025-01-24,Tomato,Pampanga,Dinagat Islands,81.41,94,7652.54,COD,9,Approved,0,0
262,2026-03-30,Rice,General Santos,Pampanga,49.88,94,4688.72,Online,8,Approved,0,0
263,2026-01-14,Carrot,Baguio,Butuan,58.78,22,1293.16,Bank Transfer,4,Approved,0,0
264,2025-04-08,Corn,Pampanga,Iloilo,37.8,66,2494.8,COD,11,Approved,1,1
265,2026-02-04,Tomato,Baguio,Zamboanga,77.39,68,5262.52,COD,5,Rejected,0,0
266,2025-02-15,Corn,Dinagat Islands,Davao,39.63,19,752.97,Online,3,Rejected,0,0
267,2025-08-04,Carrot,Davao,Agusan del Norte,82.99,75,6224.25,Bank Transfer,13,Approved,1,0
268,2025-01-30,Onion,Agusan del Norte,Davao,152.16,60,9129.6,COD,14,Rejected,0,0
269,2025-07-29,Mango,Surigao del Sur,Surigao del Norte,187.85,19,3569.15,COD,8,Approved,1,0
270,2025-11-02,Banana,Pampanga,Butuan,64.84,36,2334.24,COD,1,Rejected,0,0
271,2025-04-26,Corn,Cebu,Batangas,38.03,25,950.75,COD,4,Approved,0,0
